0.35 0.25 0.19 0 0
0.43 0.33 0.25 1 0
0.41 0.32 0.25 2 0
0.38 0.28 0.2 3 0
0.39 0.29 0.23 4 0
0.35 0.25 0.18 5 0
0.4 0.32 0.25 6 0
0.25 0.21 0.18 7 0
0.2 0.16 0.13 8 0
0.44 0.36 0.3 9 0
0.65 0.57 0.49 10 0
0.44 0.41 0.36 11 0
0.13 0.11 0.09 12 0
0.25 0.21 0.17 13 0
0.16 0.13 0.11 14 0
0.38 0.32 0.26 15 0
0.24 0.19 0.16 16 0
0.39 0.32 0.26 17 0
0.34 0.3 0.26 18 0
0.11 0.09 0.08 19 0
0.19 0.15 0.12 20 0
0.52 0.45 0.38 21 0
0.53 0.45 0.37 22 0
0.47 0.4 0.32 23 0
0.44 0.35 0.27 24 0
0.44 0.35 0.27 25 0
0.41 0.32 0.25 26 0
0.4 0.32 0.24 27 0
0.42 0.33 0.25 28 0
0.45 0.36 0.28 29 0
0.34 0.25 0.18 30 0
0.38 0.29 0.22 31 0
0.4 0.31 0.22 0 1
0.37 0.28 0.21 1 1
0.44 0.34 0.25 2 1
0.4 0.31 0.25 3 1
0.35 0.25 0.18 4 1
0.41 0.32 0.25 5 1
0.42 0.33 0.26 6 1
0.54 0.47 0.4 7 1
0.4 0.33 0.27 8 1
0.68 0.61 0.53 9 1
0.58 0.5 0.43 10 1
0.71 0.64 0.57 11 1
0.37 0.33 0.29 12 1
0.56 0.47 0.39 13 1
0.59 0.52 0.46 14 1
0.7 0.61 0.53 15 1
0.76 0.7 0.64 16 1
0.68 0.59 0.51 17 1
0.51 0.45 0.4 18 1
0.14 0.12 0.1 19 1
0.18 0.15 0.12 20 1
0.49 0.43 0.36 21 1
0.54 0.45 0.36 22 1
0.56 0.49 0.41 23 1
0.47 0.38 0.31 24 1
0.53 0.44 0.36 25 1
0.44 0.36 0.29 26 1
0.42 0.32 0.24 27 1
0.39 0.31 0.24 28 1
0.36 0.25 0.17 29 1
0.41 0.31 0.23 30 1
0.32 0.24 0.16 31 1
0.37 0.28 0.21 0 2
0.44 0.33 0.25 1 2
0.4 0.31 0.23 2 2
0.4 0.3 0.23 3 2
0.43 0.35 0.29 4 2
0.39 0.3 0.23 5 2
0.54 0.46 0.4 6 2
0.42 0.35 0.29 7 2
0.66 0.6 0.52 8 2
0.59 0.52 0.44 9 2
0.77 0.72 0.65 10 2
0.42 0.38 0.35 11 2
0.1 0.09 0.08 12 2
0.26 0.22 0.17 13 2
0.66 0.58 0.51 14 2
