0.59 0.59 0.59 4 0
0.25 0.25 0.25 5 0
0.45 0.45 0.45 6 0
0.22 0.22 0.22 7 0
0.28 0.28 0.28 8 0
0.33 0.33 0.33 9 0
0.36 0.36 0.36 10 0
0.26 0.26 0.26 11 0
0.45 0.45 0.45 12 0
0.4 0.4 0.4 13 0
0.39 0.39 0.39 14 0
0.34 0.34 0.34 15 0
0.26 0.26 0.26 16 0
0.24 0.24 0.25 17 0
0.24 0.24 0.24 18 0
0.27 0.27 0.27 19 0
0.35 0.35 0.35 20 0
0.31 0.31 0.31 21 0
0.44 0.44 0.44 22 0
0.25 0.25 0.25 23 0
0.26 0.26 0.26 4 1
0.38 0.38 0.38 5 1
0.36 0.36 0.36 6 1
0.11 0.11 0.11 7 1
0.15 0.15 0.15 8 1
0.26 0.26 0.26 9 1
0.11 0.11 0.11 10 1
0.29 0.29 0.29 11 1
0.39 0.39 0.39 12 1
0.38 0.38 0.38 13 1
0.41 0.41 0.41 14 1
0.41 0.41 0.41 15 1
0.44 0.44 0.44 16 1
0.4 0.4 0.4 17 1
0.26 0.26 0.26 18 1
0.25 0.25 0.25 19 1
0.22 0.22 0.22 20 1
0.21 0.21 0.21 21 1
0.26 0.26 0.26 22 1
0.29 0.29 0.29 23 1
0.25 0.25 0.25 24 1
0.42 0.42 0.42 3 2
0.24 0.24 0.24 4 2
0.44 0.44 0.44 5 2
0.17 0.17 0.17 6 2
0.16 0.16 0.16 7 2
0.22 0.22 0.22 8 2
0.08 0.08 0.08 9 2
0.15 0.15 0.15 10 2
0.18 0.18 0.18 11 2
0.29 0.29 0.29 12 2
0.38 0.38 0.38 13 2
0.37 0.37 0.37 14 2
0.33 0.33 0.33 15 2
0.27 0.27 0.27 16 2
0.21 0.21 0.21 17 2
0.24 0.24 0.24 18 2
0.24 0.24 0.24 19 2
0.29 0.29 0.29 20 2
0.26 0.26 0.26 21 2
0.22 0.22 0.22 22 2
0.17 0.17 0.17 23 2
0.2 0.2 0.2 24 2
0.08 0.08 0.08 25 2
0.43 0.43 0.43 3 3
0.26 0.26 0.26 4 3
0.36 0.36 0.36 5 3
0.18 0.18 0.18 6 3
0.18 0.18 0.18 7 3
0.11 0.11 0.11 8 3
0.09 0.09 0.09 9 3
0.07 0.07 0.07 10 3
0.14 0.14 0.14 11 3
